molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL1812903,2400.0,nM,CC(C)Cn1c(CN)c(-c2ccccc2)c2ccc(C(N)=O)cc2c1=O.Cl,5.619788758288394
CHEMBL4794801,2400.0,nM,N[C@@H]1CCCN(c2cc(Nc3cc(Cl)ccn3)n3nccc3n2)C1,5.619788758288394
CHEMBL488908,2500.0,nM,Cl.N[C@@H](CC(=O)N1N=CCC1C(=O)NCc1ccc(OCC(=O)O)cc1)Cc1cc(F)c(F)cc1F,5.6020599913279625
CHEMBL3329637,2500.0,nM,Cn1c(=O)n(Cc2ccccc2F)c2c(N3CCC[C@@H](N)C3)ccnc21,5.6020599913279625
CHEMBL4208513,2500.0,nM,O=c1cc(N2CCNCC2)n(Cc2ccccc2)c2ccnn12,5.6020599913279625
CHEMBL3644795,2500.0,nM,N[C@@H](CC(=O)N1CCc2c(nc(C(F)(F)F)nc2C(F)(F)F)C1)CN1C(=O)CCC(F)(F)C1=O,5.6020599913279625
CHEMBL518144,2500.0,nM,N#C[C@@H]1C[C@H](N=[N+]=[N-])CN1C(=O)[C@@H](N)CCCCN(c1cccc2ccccc12)c1cccc2ccccc12,5.6020599913279625
CHEMBL470170,2500.0,nM,N[C@@H](CC(=O)NC1(c2ccccc2)CCOCC1)Cc1ccccc1F,5.6020599913279625
CHEMBL2408639,2500.0,nM,CC(C)=CCn1c(OCC(C)(C)N)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,5.6020599913279625
CHEMBL185121,2519.0,nM,N#Cc1ccccc1C[C@@H](N)CC(=O)N1CCSC1,5.598771832501887
CHEMBL214381,2530.0,nM,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)[C@@H](C)CC,5.596879478824182
CHEMBL480913,2540.0,nM,N#Cc1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)cc1C(F)(F)F,5.5951662833800615
CHEMBL210941,2587.0,nM,O=C(NCCc1ccccc1)[C@@H]1CN[C@H](C(=O)N2CCCC2)C1,5.587203571283457
CHEMBL516747,2600.0,nM,CCOC(=O)[C@@H](Oc1ccc(NC(=O)C2CC=NN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1)C(C)C.Cl,5.585026652029182
CHEMBL3927979,2600.0,nM,CC#CCn1c(N2CCCNCC2)nc2c1c(=O)n(CCCN1CCC(C(=O)OC(C)C)CC1)c(=O)n2C,5.585026652029182
CHEMBL234426,2600.0,nM,CCCCC1CN(c2ccc(Cl)c(C(F)(F)F)c2)CCC1N,5.585026652029182
CHEMBL3798441,2600.0,nM,C[C@H]1C[C@@H](C#N)N(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,5.585026652029182
CHEMBL235004,2700.0,nM,COc1cc([C@H]2CC[C@@H]([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CCC(F)(F)C3)CC2)nc(OC)n1,5.568636235841012
CHEMBL3084945,2700.0,nM,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](N)CC1,5.568636235841012
CHEMBL488714,2700.0,nM,CC(C)[C@H](Oc1ccc(NC(=O)C2CC=NN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1)C(=O)O.Cl,5.568636235841012
