molecule_chembl_id,IC50,units,smiles,pIC50,ROMol,molecular_weight,n_hba,n_hbd,logp,n_rotatable,n_aromatic_rings
CHEMBL5219451,0.28,nM,NCC(=O)N1CCC[C@H]1C(=O)O/C=C/c1ccccc1,9.55284196865778,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855690>,274.131742436,4,1,1.1501999999999997,4,1
CHEMBL433811,0.28,nM,COc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)cc1OC,9.55284196865778,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855bd0>,344.18484062799996,6,2,1.3607799999999999,5,1
CHEMBL5219299,0.28,nM,C=COC(=O)[C@@H]1CCCN1C(=O)CN,9.55284196865778,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855d90>,198.100442308,4,1,-0.3771999999999997,3,0
CHEMBL217702,0.29,nM,N[C@@H](CC(=O)N1CCCNC(=O)[C@H]1Cc1cnccn1)Cc1cc(F)c(F)cc1F,9.537602002101044,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855fc0>,421.172559604,5,2,1.1136000000000001,6,2
CHEMBL2147712,0.3,nM,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2cccc(F)c2)n1,9.522878745280336,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856030>,444.21075876800006,7,1,1.70522,4,2
CHEMBL2063040,0.3,nM,N=C(N)NCCC[C@H](N)C(=O)N1C[C@@H](O)C[C@H]1B(O)O,9.522878745280336,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8560a0>,287.176484584,6,7,-3.4492299999999974,6,0
CHEMBL305170,0.3,nM,CC(C)[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,9.522878745280336,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856110>,214.14887286799998,4,3,-1.0272999999999988,3,0
CHEMBL195189,0.3,nM,CC(C)[C@H](N)C(=O)N1CCC[C@@H]1B(O)O,9.522878745280336,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856180>,214.14887286799998,4,3,-1.0272999999999988,3,0
CHEMBL366290,0.3,nM,CC(C)[C@H](Oc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)CC(N)Cc2cc(F)ccc2F)cc1)C(=O)O.O=C(O)C(F)(F)F,9.522878745280336,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8561f0>,649.188112464,7,4,3.563900000000001,11,2
CHEMBL5267798,0.3,nM,CC(C)[C@H](Nc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)C[C@H](N)Cc2cc(F)ccc2F)cc1)C(=O)O,9.522878745280336,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856260>,534.2112329439999,6,4,2.963700000000001,11,2
CHEMBL3736137,0.3,nM,N[C@H]1C[C@@H](N2Cc3[nH]nc(NS(=O)(=O)c4c[nH]cn4)c3C2)CO[C@@H]1c1cc(F)ccc1F,9.522878745280336,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8562d0>,465.139464972,7,4,1.3848999999999998,5,3
CHEMBL536090,0.31,nM,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccc1C(F)(F)F)Cc1cc(F)c(F)cc1F,9.508638306165729,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856340>,601.1290919520001,5,1,5.2409000000000034,6,3
CHEMBL2147709,0.32,nM,O=C([C@@H]1C[C@H](N2CCN(c3cc(C(F)(F)F)nn3-c3ccccc3)CC2)CN1)N1CCSC1,9.494850021680094,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8563b0>,480.1919151440001,7,1,2.2765000000000004,4,2
CHEMBL536536,0.32,nM,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1C(O)c1ccc(F)cc1)Cc1cc(F)c(F)cc1F,9.494850021680094,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856420>,567.127200132,6,2,3.8521000000000027,6,3
CHEMBL1651766,0.33,nM,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2ccsc2c1=O,9.481486060122112,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856490>,365.131031228,7,1,2.30548,3,3
CHEMBL195063,0.33,nM,COc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)cc1,9.481486060122112,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856500>,314.174275944,5,2,1.3521799999999997,4,1
CHEMBL1819089,0.34,nM,Cl.Cn1c(=O)c2c(cc(N3CCC[C@@H](N)C3)n2Cc2cc(F)ccc2C#N)n(C)c1=O,9.468521082957745,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856570>,446.163329908,8,1,1.44708,3,3
CHEMBL3686733,0.35,nM,C[C@H](N)C(=S)N1CCC[C@H]1B(O)O,9.455931955649724,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8565e0>,202.09472911999998,4,3,-0.8626000000000003,2,0
CHEMBL2147777,0.37,nM,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,9.431798275933003,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856650>,426.22018058000003,7,1,1.5661200000000006,4,2
CHEMBL5219532,0.37,nM,CC(C)=CCC/C(C)=C/OC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,9.431798275933003,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8566c0>,565.372700972,7,2,5.759100000000005,12,0
CHEMBL2058971,0.37,nM,O=C([C@@H]1C[C@H](N2CCN(c3cc(C(F)(F)F)nc4ccccc34)CC2)CN1)N1CCSC1,9.431798275933003,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856730>,465.181016112,6,1,2.6390000000000002,3,2
CHEMBL2058971,0.37,nM,O=C([C@@H]1C[C@H](N2CCN(c3cc(C(F)(F)F)nc4ccccc34)CC2)CN1)N1CCSC1,9.431798275933003,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8567a0>,465.181016112,6,1,2.6390000000000002,3,2
CHEMBL3675618,0.38,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1C(=O)N(Cc1nc(C)c3ccccc3n1)C1=NCCN12,9.42021640338319,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856810>,483.2495065480001,9,1,1.9175199999999994,4,3
